Tickers
AAPL
MSFT
GOOGL
AMZN
JPM
JNJ
PG
XOM
CVX
HD
KO
PEP
MA
V
COST
MCD
MRK
ABBV
UNH
IBM
NVDA
META
TSLA
ADBE
NFLX
QCOM
AMD
INTC
CSCO
CRM
PYPL
BAC
WMT
DIS
PFE
PLTR
