AZN.L
SHEL.L
HSBA.L
BP.L
GSK.L
DGE.L
BATS.L
ULVR.L
RIO.L
RDSB.L
RDSA.L
LSEG.L
NG.L
BTI.L
PRU.L
AV.L
BARC.L
BARC.L
NWG.L
LLOY.L
STAN.L
VOD.L
IMB.L
BNZL.L
CRH.L
RTO.L
SSE.L
SGRO.L
REL.L
AAL.L
ANTO.L
SMT.L
HLMA.L
AVST.L
LGEN.L
MNG.L
PSN.L
TW.L
BDEV.L
SDR.L
SN.L
CRDA.L
OCDO.L
SBRY.L
TSCO.L
WMH.L
MKS.L
IMI.L
ITRK.L
ICP.L
AUTO.L
WPP.L
GLEN.L
MEL.L
SMDS.L
RS1.L
WEIR.L
SPX.L
FERG.L
IHG.L
PHNX.L
ULVR.L
CURY.L
